iter	Passed	Remaining
950	15890	818
951	15905	801
952	15922	785
953	15937	768
954	15953	751
955	15969	734
956	15985	718
957	16004	701
958	16021	684
959	16043	668
960	16061	651
961	16077	635
962	16094	618
963	16110	601
964	16127	584
965	16143	568
966	16161	551
967	16177	534
968	16195	518
969	16210	501
970	16226	484
971	16244	467
972	16263	451
973	16284	434
974	16303	418
975	16321	401
976	16341	384
977	16359	367
978	16376	351
979	16393	334
980	16410	317
981	16430	301
982	16447	284
983	16462	267
984	16479	250
985	16494	234
986	16510	217
987	16525	200
988	16542	183
989	16558	167
990	16574	150
991	16590	133
992	16607	117
993	16623	100
994	16639	83
995	16655	66
996	16671	50
997	16687	33
998	16706	16
999	16721	0
